GameID|HomeTeam|AwayTeam|GameWinner|GameLoser|ScoreHome|ScoreAway|HomeFirstDowns|HomePassingYards|HomePenaltyCnt|HomePenaltyYards|HomePossTime|HomePuntAvg|HomepuntCnt|HomePuntYards|HomeRushingYards|HomeTotalYards|HomeTurnOvers|AwayFirstDowns|AwayPassingYards|AwayPenaltyCnt|AwayPenaltyYards|AwayPossTime|AwayPuntAvg|AwaypuntCnt|AwayPuntYards|AwayRushingYards|AwayTotalYards|AwayTurnOvers|HomeFieldGoals|AwayFieldGoals|HomeTouchDowns|AwayTouchDowns|HomePassingComp|AwayPassingComp|HomePassingAtt|AwayPassingAtt|HomePassingTD|AwayPassingTD|HomeRushingAtt|AwayRushingAtt|HomeRushingTD|AwayRushingTD|Year|Week|Date|Day|TimeOfDay|NumericDate|Temp|DewPoint|Visiability|Humidity|WindSpeed|WindDir|Pressure|Fog|Precipitation|Condition|Rain|Snow|WindChill|HeatIndex|HomePassYardsPerAttempt|HomePassingCompPct|AwayPassYardsPerAttempt|AwayPassingCompPct|HomeRushYardsPerAttempt|AwayRushYardsPerAttempt|HomeTeamWin
15|NE|BUF|NE|BUF|25|24|28|368|6|55|37:08|37|1|42|73|441|1|17|186|9|71|22:52|38|4|171|90|276|1|1|2|3|3|15|39|25|53|2|2|19|23|0|1|2009|1|9/14/2009|0|7:00|20090914|63.0|53.1|10.0|70.0|0.0|North|29.85|0.0||Clear|0.0|0.0|||24.5333333333|0.6|4.76923076923|0.735849056604|3.84210526316|3.91304347826|1
16|OAK|SD|SD|OAK|20|24|19|218|6|40|31:37|41|4|195|148|366|3|19|240|9|60|28:23|46|5|265|77|317|2|2|1|2|3|14|24|32|36|1|1|32|23|1|2|2009|1|9/14/2009|0|10:15|20090914|69.1|57.9|10.0|68.0|10.4|WSW|30.05|0.0||Partly Cloudy|0.0|0.0|||15.5714285714|0.4375|10.0|0.666666666667|4.625|3.34782608696|0
17|ATL|CAR|ATL|CAR|28|20|23|220|6|40|31:32|44|3|149|151|371|2|24|296|6|35|28:28|26|2|51|144|440|2|2|0|4|2|21|25|27|41|3|1|37|25|1|1|2009|2|9/20/2009|6|1:00|20090920|79.0|71.1|10.0|77.0|8.1|SE|30.11|0.0|0.0|Overcast|0.0|0.0|||10.4761904762|0.777777777778|11.84|0.609756097561|4.08108108108|5.76|1
18|DET|MIN|MIN|DET|13|27|17|136|6|45|30:25|32|4|150|129|265|3|18|153|5|43|29:35|40|4|168|112|265|1|2|2|1|3|18|24|30|28|1|2|34|25|0|1|2009|2|9/20/2009|6|1:00|20090920|72.0|48.9|10.0|44.0|8.1|East|30.18|0.0||Clear|0.0|0.0|||7.55555555556|0.6|6.375|0.857142857143|3.79411764706|4.48|0
19|GB|CIN|CIN|GB|24|31|22|222|11|76|26:12|24|6|259|89|311|1|19|168|13|100|33:48|41|4|185|151|319|2|1|1|4|3|15|21|23|39|3|1|34|18|1|1|2009|2|9/20/2009|6|1:00|20090920|73.0|50.0|10.0|44.0|12.7|SE|30.1|0.0||Scattered Clouds|0.0|0.0|||14.8|0.652173913043|8.0|0.538461538462|2.61764705882|8.38888888889|0
20|JAC|ARI|ARI|JAC|17|31|18|280|8|50|28:39|45|4|181|92|372|3|22|265|7|58|31:21|36|3|139|118|383|2|1|1|4|2|27|23|32|43|2|2|28|20|1|0|2009|2|9/20/2009|6|1:00|20090920|87.1|73.0|10.0|63.0|12.7|ENE|30.06|0.0||Mostly Cloudy|0.0|0.0||94.5|10.3703703704|0.84375|11.5217391304|0.53488372093|3.28571428571|5.9|0
21|KC|OAK|OAK|KC|10|13|25|236|9|70|38:39|40|5|218|173|409|2|11|99|7|45|21:21|46|7|398|67|166|0|1|2|1|1|24|7|39|24|1|0|38|25|0|1|2009|2|9/20/2009|6|1:00|20090920|75.0|62.1|10.0|64.0|0.0|North|29.94|0.0||Overcast|0.0|0.0|||9.83333333333|0.615384615385|14.1428571429|0.291666666667|4.55263157895|2.68|0
22|NYJ|NE|NYJ|NE|16|9|14|137|8|55|29:10|37|5|209|117|254|1|18|216|11|89|30:50|29|6|221|83|299|1|3|3|1|0|23|14|47|22|0|1|20|31|0|0|2009|2|9/20/2009|6|1:00|20090920|73.0|45.0|10.0|37.0|6.9|Variable|30.3|0.0||Clear|0.0|0.0|||5.95652173913|0.489361702128|15.4285714286|0.636363636364|5.85|2.67741935484|1
23|PHI|NO|NO|PHI|22|48|23|378|7|45|29:34|42|5|225|85|463|4|23|288|3|13|30:26|50|3|156|133|421|1|2|2|6|2|25|31|34|52|3|2|29|21|2|0|2009|2|9/20/2009|6|1:00|20090920|71.1|46.9|10.0|42.0|3.5|SW|30.32|0.0||Scattered Clouds|0.0|0.0|||15.12|0.735294117647|9.29032258065|0.596153846154|2.93103448276|6.33333333333|0
24|TEN|HOU|HOU|TEN|31|34|19|209|8|64|25:57|45|5|239|240|449|2|19|357|6|40|34:03|44|6|311|63|420|0|2|1|4|4|25|21|39|33|4|2|29|26|0|2|2009|2|9/20/2009|6|1:00|20090920|81.0|71.1|10.0|72.0|15.0|South|29.99|0.0||Mostly Cloudy|0.0|0.0||84.9|8.36|0.641025641026|17.0|0.636363636364|8.27586206897|2.42307692308|0
25|WAS|STL|WAS|STL|9|7|21|237|5|35|34:53|42|2|96|125|362|1|14|119|6|45|25:07|35|4|173|126|245|1|3|0|1|0|15|23|28|36|1|0|21|33|0|0|2009|2|9/20/2009|6|1:00|20090920|73.0|52.0|10.0|48.0|3.5|SSW|30.32|0.0||Mostly Cloudy|0.0|0.0|||15.8|0.535714285714|5.17391304348|0.638888888889|5.95238095238|3.81818181818|1
26|BUF|TB|BUF|TB|33|20|25|220|7|55|29:33|39|3|142|218|438|2|19|296|13|112|30:27|38|6|258|57|353|2|4|0|3|3|21|26|31|50|2|3|35|19|0|0|2009|2|9/20/2009|6|4:05|20090920|75.0|46.0|10.0|36.0|4.6|ENE|30.19|0.0||Mostly Cloudy|0.0|0.0|||10.4761904762|0.677419354839|11.3846153846|0.52|6.22857142857|3.0|1
27|SF|SEA|SF|SEA|23|10|16|123|6|54|34:31|40|6|281|256|379|0|19|217|6|45|25:29|47|7|365|66|283|1|1|3|1|2|25|19|41|27|1|0|23|29|0|2|2009|2|9/20/2009|6|4:05|20090920|70.0|55.9|10.0|61.0|16.1|WNW|29.91|0.0||Partly Cloudy|0.0|0.0|||4.92|0.609756097561|11.4210526316|0.703703703704|11.1304347826|2.27586206897|1
28|CHI|PIT|CHI|PIT|17|14|17|232|10|80|29:34|40|6|275|43|275|0|21|203|6|52|30:26|50|3|163|105|308|2|1|0|2|2|27|23|38|35|2|1|18|22|0|1|2009|2|9/20/2009|6|4:15|20090920|64.0|60.1|9.0|87.0|8.1|NNE|29.97|0.0|0.04|Overcast|0.0|0.0|||8.59259259259|0.710526315789|8.82608695652|0.657142857143|2.38888888889|4.77272727273|1
29|DEN|CLE|DEN|CLE|27|6|25|263|5|50|32:44|43|2|109|186|449|1|11|146|4|43|27:16|40|6|272|54|200|3|2|2|3|0|18|19|31|37|0|1|21|37|0|2|2009|2|9/20/2009|6|4:15|20090920|69.8|37.4|70.0|31.0|13.8|West|29.83|0.0||Mostly Cloudy|0.0|0.0|||14.6111111111|0.58064516129|7.68421052632|0.513513513514|8.85714285714|1.45945945946|1
30|SD|BAL|BAL|SD|26|31|20|421|12|85|31:19|38|2|75|53|474|2|22|181|4|32|28:41|42|4|166|130|311|1|1|4|4|2|18|25|27|45|2|2|32|21|2|0|2009|2|9/20/2009|6|4:15|20090920|73.0|63.0|10.0|71.0|9.2|WNW|29.94|0.0||Partly Cloudy|0.0|0.0|||23.3888888889|0.666666666667|7.24|0.555555555556|1.65625|6.19047619048|0
31|DAL|NYG|NYG|DAL|31|33|23|127|4|50|25:11|44|4|195|251|378|4|19|330|4|40|34:49|36|5|186|97|427|0|1|4|4|3|13|25|29|38|1|2|29|26|3|0|2009|2|9/20/2009|6|8:20|20090920|78.1|66.0|10.0|66.0|5.8|SSE|29.87|0.0||Clear|0.0|0.0|||9.76923076923|0.448275862069|13.2|0.657894736842|8.65517241379|3.73076923077|0
32|MIA|IND|IND|MIA|23|27|27|164|4|20|45:07|42|1|44|239|403|1|14|295|4|20|14:53|39|3|145|61|356|0|2|3|3|2|14|22|23|33|2|0|11|49|1|2|2009|2|9/21/2009|0|8:30|20090921|84.0|73.9|10.0|72.0|9.2|East|30.01|0.0||Scattered Clouds|0.0|0.0||91.2|11.7142857143|0.608695652174|13.4090909091|0.666666666667|21.7272727273|1.24489795918|0
33|BAL|CLE|BAL|CLE|34|3|28|337|8|84|31:18|38|4|176|142|479|1|11|115|5|46|28:42|41|5|255|71|186|4|2|1|4|0|26|17|37|27|1|0|28|23|3|0|2009|3|9/27/2009|6|1:00|20090927|75.0|62.1||64.0||North|29.6|0.0||Unknown|0.0|0.0|||12.9615384615|0.702702702703|6.76470588235|0.62962962963|5.07142857143|3.08695652174|1
34|CIN|PIT|CIN|PIT|23|20|19|173|4|30|25:18|37|5|204|100|273|0|17|271|5|51|34:42|34|2|85|102|373|1|1|2|3|2|20|22|37|31|1|1|19|28|1|1|2009|3|9/27/2009|6|4:15|20090927|68.0|55.9|10.0|65.0|9.2|SSW|29.72|0.0||Scattered Clouds|0.0|0.0|||8.65|0.540540540541|12.3181818182|0.709677419355|5.26315789474|3.64285714286|1
35|DET|WAS|DET|WAS|19|14|23|227|8|58|36:48|39|6|241|154|381|0|22|325|9|97|23:12|45|5|229|65|390|1|2|0|2|2|21|27|36|41|1|2|36|14|1|0|2009|3|9/27/2009|6|1:00|20090927|70.0|53.1|10.0|55.0|9.2|West|29.62|0.0||Mostly Cloudy|0.0|0.0|||10.8095238095|0.583333333333|12.037037037|0.658536585366|4.27777777778|4.64285714286|1
36|HOU|JAC|JAC|HOU|24|31|23|286|5|60|29:08|38|4|171|111|397|2|24|214|5|40|30:52|31|3|106|184|398|1|1|1|3|4|26|18|35|30|3|0|22|31|0|4|2009|3|9/27/2009|6|1:00|20090927|91.4|69.8|10.0|49.0|5.8|SSW|29.86|0.0||Partly Cloudy|0.0|0.0||96.8|11.0|0.742857142857|11.8888888889|0.6|5.04545454545|5.93548387097|0
37|MIN|SF|MIN|SF|27|24|19|283|9|52|32:09|40|6|276|94|377|1|13|188|7|60|27:51|41|9|465|58|246|1|2|1|3|3|24|15|46|25|2|2|27|26|0|0|2009|3|9/27/2009|6|1:00|20090927|72.0|46.0|10.0|40.0|20.7|WNW|29.4|0.0||Clear|0.0|0.0|||11.7916666667|0.521739130435|12.5333333333|0.6|3.48148148148|2.23076923077|1
38|NE|ATL|NE|ATL|26|10|28|277|2|10|39:49|44|2|87|168|445|0|13|199|7|54|20:11|34|5|188|58|257|1|1|4|1|2|17|25|28|42|0|1|17|39|1|1|2009|3|9/27/2009|6|1:00|20090927|64.9|62.1|10.0|90.0|9.2|SSE|29.7|0.0|0.02|Overcast|0.0|0.0|||16.2941176471|0.607142857143|7.96|0.595238095238|9.88235294118|1.48717948718|1
39|PHI|KC|PHI|KC|34|14|21|327|3|20|30:35|36|3|123|93|420|1|11|97|10|90|29:25|45|9|399|99|196|1|2|0|2|4|15|24|19|36|2|2|29|27|0|2|2009|3|9/27/2009|6|1:00|20090927|71.1|66.0|10.0|84.0|9.2|West|29.57|0.0|0.01|Overcast|0.0|0.0|||21.8|0.789473684211|4.04166666667|0.666666666667|3.20689655172|3.66666666667|1
40|STL|GB|GB|STL|17|36|22|187|6|40|29:41|46|4|216|149|336|3|24|250|6|51|30:19|44|4|200|152|402|0|3|1|4|2|13|19|23|35|2|2|37|33|2|0|2009|3|9/27/2009|6|1:00|20090927|78.1|55.9|10.0|46.0|9.2|South|29.66|0.0||Partly Cloudy|0.0|0.0|||14.3846153846|0.565217391304|13.1578947368|0.542857142857|4.02702702703|4.60606060606|0
41|TB|NYG|NYG|TB|0|24|5|58|5|25|16:22|38|7|311|28|86|1|27|171|5|60|43:38|40|4|200|226|397|0|1|0|3|0|16|11|27|26|2|0|49|10|1|0|2009|3|9/27/2009|6|1:00|20090927|89.6|77.0|10.0|66.0|9.2|West|29.88|0.0||Scattered Clouds|0.0|0.0||102.2|3.625|0.592592592593|15.5454545455|0.423076923077|0.571428571429|22.6|0
42|BUF|NO|NO|BUF|7|27|13|154|12|116|26:26|40|9|419|89|243|2|21|156|9|97|33:34|43|5|213|222|378|1|2|0|1|3|21|16|36|29|1|0|21|38|0|3|2009|3|9/27/2009|6|4:05|20090927|66.0|57.9|10.0|75.0|17.3|WSW|29.54|0.0||Mostly Cloudy|0.0|0.0|||7.33333333333|0.583333333333|9.75|0.551724137931|4.2380952381|5.84210526316|0
43|SEA|CHI|CHI|SEA|19|25|19|243|4|45|29:36|50|2|108|103|346|2|14|233|6|60|30:24|41|4|165|85|318|2|1|4|3|1|21|26|27|44|3|1|28|28|0|0|2009|3|9/27/2009|6|4:05|20090927|64.0|46.0|10.0|52.0|8.1|NW|29.94|0.0||Clear|0.0|0.0|||11.5714285714|0.777777777778|8.96153846154|0.590909090909|3.67857142857|3.03571428571|0
44|NYJ|TEN|NYJ|TEN|24|17|13|146|3|25|32:38|36|9|360|83|229|2|17|159|3|15|27:22|30|7|303|127|286|4|1|1|3|2|17|15|30|37|2|1|31|30|1|1|2009|3|9/27/2009|6|1:00|20090927|66.0|63.0|1.0|90.0|0.0|North|29.57|0.0|0.02|Light Rain|1.0|0.0|||8.58823529412|0.566666666667|10.6|0.405405405405|2.67741935484|4.23333333333|1
45|OAK|DEN|DEN|OAK|3|23|9|42|6|53|23:45|42|4|190|95|137|3|21|157|5|30|36:15|27|2|81|215|372|1|3|1|2|0|13|12|23|21|1|0|45|23|1|0|2009|3|9/27/2009|6|4:15|20090927|75.9|55.9|10.0|50.0|11.5|WNW|29.75|0.0||Mostly Cloudy|0.0|0.0|||3.23076923077|0.565217391304|13.0833333333|0.571428571429|2.11111111111|9.34782608696|0
46|SD|MIA|SD|MIA|23|13|19|286|3|20|27:33|38|2|85|69|355|1|19|140|7|39|32:27|41|4|178|149|289|2|2|3|1|2|18|18|31|33|0|0|31|28|1|1|2009|3|9/27/2009|6|4:15|20090927|71.1|62.1|9.0|73.0|6.9|WNW|29.81|0.0||Scattered Clouds|0.0|0.0|||15.8888888889|0.58064516129|7.77777777778|0.545454545455|2.22580645161|5.32142857143|1
47|ARI|IND|IND|ARI|10|31|21|299|5|35|28:18|42|6|287|24|323|3|22|379|7|69|31:42|39|4|168|126|505|1|1|1|1|4|32|24|54|35|1|4|12|31|0|0|2009|3|9/27/2009|6|8:20|20090927|90.0|33.1|10.0|13.0|4.6|ESE|29.67|0.0||Clear|0.0|0.0|||9.34375|0.592592592593|15.7916666667|0.685714285714|2.0|4.06451612903|0
48|DAL|CAR|DAL|CAR|21|7|24|237|9|80|37:04|37|5|187|212|449|0|15|198|6|60|22:56|40|6|296|73|271|3|2|0|1|2|22|22|33|33|1|0|16|32|0|1|2009|3|9/28/2009|0|8:30|20090928|73.0|37.0|10.0|27.0|9.2|NNE|30.05|0.0||Clear|0.0|0.0|||10.7727272727|0.666666666667|9.0|0.666666666667|13.25|2.28125|1
49|CHI|DET|CHI|DET|48|24|14|125|3|36|23:30|38|4|152|151|276|0|25|308|7|51|36:30|26|5|218|90|398|2|2|1|6|3|18|30|28|47|2|1|20|26|3|2|2009|4|10/4/2009|6|1:00|20091004|57.9|41.0|10.0|53.0|12.7|West|30.0|0.0||Mostly Cloudy|0.0|0.0|||6.94444444444|0.642857142857|10.2666666667|0.63829787234|7.55|3.46153846154|1
50|CLE|CIN|CIN|CLE|20|23|22|249|5|44|38:55|37|9|393|146|395|2|21|221|6|46|36:01|32|9|406|154|375|2|1|2|3|2|23|26|44|48|2|1|30|33|0|1|2009|4|10/4/2009|6|1:00|20091004|57.9|43.0|10.0|58.0|15.0|West|29.96|0.0||Overcast|0.0|0.0|||10.8260869565|0.522727272727|8.5|0.541666666667|4.86666666667|4.66666666667|0
51|HOU|OAK|HOU|OAK|29|6|16|209|1|5|34:13|36|7|250|120|329|2|8|120|9|60|25:47|46|8|427|45|165|3|2|2|3|0|11|12|22|33|1|0|41|22|1|0|2009|4|10/4/2009|6|1:00|20091004|77.0|75.2|9.0|94.0|11.5|SSW|29.7|0.0||Scattered Clouds|0.0|0.0|||19.0|0.5|10.0|0.363636363636|2.92682926829|2.04545454545|1
52|IND|SEA|IND|SEA|34|17|24|353|7|48|28:54|31|2|81|78|431|1|20|230|6|45|31:06|36|5|245|49|279|2|2|1|4|2|31|33|41|45|2|1|22|19|2|1|2009|4|10/4/2009|6|1:00|20091004|60.1|39.0|10.0|46.0|9.2|West|30.05|0.0||Partly Cloudy|0.0|0.0|||11.3870967742|0.756097560976|6.9696969697|0.733333333333|3.54545454545|2.57894736842|1
53|JAC|TEN|JAC|TEN|37|17|27|305|4|30|34:07|28|3|111|137|442|1|19|284|6|68|25:53|35|5|211|95|379|3|3|1|4|2|27|29|37|48|3|1|30|19|1|1|2009|4|10/4/2009|6|1:00|20091004|82.9|68.0|10.0|60.0|5.8|East|30.02|0.0||Overcast|0.0|0.0||85.8|11.2962962963|0.72972972973|9.79310344828|0.604166666667|4.56666666667|5.0|1
54|KC|NYG|NYG|KC|16|27|15|88|7|55|29:13|46|7|339|105|193|1|21|273|8|54|30:47|36|4|171|156|429|2|1|2|2|3|15|20|32|36|2|3|25|33|0|0|2009|4|10/4/2009|6|1:00|20091004|63.0|37.9|10.0|40.0|8.1|ESE|30.05|0.0||Clear|0.0|0.0|||5.86666666667|0.46875|13.65|0.555555555556|4.2|4.72727272727|0
55|NE|BAL|NE|BAL|27|21|25|234|5|41|34:56|25|3|115|85|319|1|24|247|9|85|25:04|42|3|139|116|363|2|2|0|3|3|27|21|47|32|2|1|17|30|0|2|2009|4|10/4/2009|6|1:00|20091004|68.0|57.0|10.0|68.0|3.5|Variable|29.83|0.0||Overcast|0.0|0.0|||8.66666666667|0.574468085106|11.7619047619|0.65625|5.0|3.86666666667|1
56|WAS|TB|WAS|TB|16|13|14|152|4|40|28:56|30|4|127|125|277|4|12|100|5|40|31:04|41|5|217|129|229|2|2|1|1|2|13|12|22|22|1|2|30|35|0|0|2009|4|10/4/2009|6|1:00|20091004|71.1|44.1|10.0|38.0|13.8|NNW|29.96|0.0||Scattered Clouds|0.0|0.0|||11.6923076923|0.590909090909|8.33333333333|0.545454545455|4.16666666667|3.68571428571|1
57|MIA|BUF|MIA|BUF|38|10|25|86|5|45|37:09|30|5|199|250|336|0|10|160|3|19|22:51|39|5|257|46|206|3|1|1|1|5|14|14|26|22|1|1|17|45|0|3|2009|4|10/4/2009|6|4:05|20091004|87.1|72.0|10.0|61.0|10.4|ESE|29.96|0.0||Scattered Clouds|0.0|0.0||93.6|6.14285714286|0.538461538462|11.4285714286|0.636363636364|14.7058823529|1.02222222222|1
58|NO|NYJ|NO|NYJ|24|10|18|190|7|70|32:39|38|5|190|153|343|1|14|112|3|21|27:21|35|6|252|132|244|4|1|1|3|1|20|14|32|27|0|0|32|27|1|1|2009|4|10/4/2009|6|4:05|20091004|80.1|78.1|8.0|94.0|4.6|SSW|29.83|0.0|0.04|Light Rain|1.0|0.0||86.4|9.5|0.625|8.0|0.518518518519|4.78125|4.88888888889|1
59|DEN|DAL|DEN|DAL|17|10|18|221|10|81|26:53|42|6|305|116|337|1|20|241|7|70|33:07|42|6|296|74|315|2|1|1|1|2|25|20|42|29|0|2|25|25|1|0|2009|4|10/4/2009|6|4:15|20091004|51.8|39.2|7.0|62.0|9.2|NW|29.67|0.0||Mostly Cloudy|0.0|0.0|||8.84|0.595238095238|12.05|0.689655172414|4.64|2.96|1
60|SF|STL|SF|STL|35|0|13|132|3|33|30:12|39|7|305|96|228|0|9|82|10|73|29:48|41|8|349|95|177|3|0|0|5|0|14|13|24|24|2|0|29|28|0|0|2009|4|10/4/2009|6|4:15|20091004|59.0|45.0|10.0|60.0|25.3|West|29.79|0.0||Scattered Clouds|0.0|0.0|||9.42857142857|0.583333333333|6.30769230769|0.541666666667|3.31034482759|3.39285714286|1
61|PIT|SD|PIT|SD|38|28|32|320|6|59|40:20|42|2|84|177|497|2|17|235|3|20|19:40|44|6|291|16|251|1|1|0|5|4|27|21|34|36|3|3|36|8|2|0|2009|4|10/4/2009|6|8:20|20091004|53.1|43.0|10.0|69.0|5.8|Variable|30.05|0.0||Overcast|0.0|0.0|||11.8518518519|0.794117647059|11.1904761905|0.583333333333|4.91666666667|2.0|1
62|MIN|GB|MIN|GB|30|23|22|271|2|10|31:44|42|5|212|63|334|1|19|342|7|57|28:16|30|2|102|82|424|2|1|0|3|4|26|24|37|32|2|3|17|30|0|1|2009|4|10/5/2009|0|8:30|20091005|48.0|46.0|9.0|93.0|0.0|North|29.96|0.0|0.04|Light Rain|1.0|0.0|||10.4230769231|0.702702702703|14.25|0.75|3.70588235294|2.73333333333|1
